Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,37451.83,11792.85,1571500.00,283,0,4,0,109,0,292,0,18,0.5920528552834294,3564
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,317062.88,29723.68,5886000.00,2154,0,41,0,1215,0,2354,0,161,0.9029646966475603,24444
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,317830.06,155612.81,10867500.00,3430,0,17,0,318,0,3934,0,96,0.8378504230608922,47268
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,413840.08,336346.33,124358400.00,5855,0,0,30,500,0,7056,0,166,0.9732257590828882,73896
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,462232.98,348785.48,142074000.00,6214,0,21,0,577,0,7246,0,167,0.9763876930193751,79668
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,393296.45,278180.00,127127100.00,5236,0,0,30,313,0,6101,0,137,0.976305841405625,67488
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,413562.47,236990.00,124722000.00,5078,0,0,27,538,0,6213,0,141,0.9746311525298492,62940
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,434072.02,225780.00,132976200.00,5148,0,0,44,421,0,6264,0,148,0.9707589574594387,63900
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,460713.08,206140.00,146652000.00,5163,131,0,38,32,449,6330,0,144,0.9739868110414611,67164
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,502087.39,0.00,0,2945,0,15,0,276,0,3327,74,1.203563087888461,35844
